Category,Field,Number,Name,Field + Number, 
HA,HIST,2354,African American Visions of Africa,HIST 2354, 
HA,HIST,2381,"Corruption, Collusion, and Commerce in Early America and the Caribbean",HIST 2381, 
HA,HIST,2390,Seminar in Iroquois History,HIST 2390, 
HA,HIST,2391,From Terra Incognita to Territories of Nation-States: Early American History in Two Dozen Maps,HIST 2391, 
HA,HIST,2422,The History of the U.S. Prison,HIST 2422, 
HA,HIST,2423,Dazed and Confused: The Politics of Drug and Alcohol in US History,HIST 2423, 
HA,HIST,2452,Dress Cloth and Identity,HIST 2452, 
HA,HIST,2461,History of Minorities in Ottoman West Asia and North Africa,HIST 2461, 
HA,HIST,2512,Black Women in the 20th Century,HIST 2512, 
HA,HIST,2521,"England's Age of Revolutions, 1500-1815",HIST 2521, 
HA,HIST,2526,"Words as Weapons: Political Vocabulary, Mass Media and the Evolution of Political Consciousness",HIST 2526, 
HA,HIST,2530,Introduction to Islamic Civilization,HIST 2530, 
HA,HIST,2541,Modern Caribbean History,HIST 2541, 
HA,HIST,2542,The Making of Contemporary Africa,HIST 2542, 
HA,HIST,2543,In the Crossfire of Empires: Africa and World War II,HIST 2543, 
HA,HIST,2548,Buddhists in the Indian Ocean Arena: Past and Present,HIST 2548, 
HA,HIST,2560,War and Peace in Greece and Rome,HIST 2560, 
HA,HIST,2562,Medicine and Healing in China,HIST 2562, 
HA,HIST,2581,Environmental History,HIST 2581, 
HA,HIST,2590,The Crusades,HIST 2590, 
HA,HIST,2596,America's Gods: Race and Place in American History,HIST 2596, 
HA,HIST,2640,Introduction to Asian American History,HIST 2640, 
HA,HIST,2641,Race and Modern US History,HIST 2641, 
HA,HIST,2650,Ancient Greece from Helen to Alexander,HIST 2650, 
HA,HIST,2660,Everything You Know About Indians is Wrong: Unlearning Native American History,HIST 2660, 
HA,HIST,2664,What's Colonial About Early America?,HIST 2664, 
HA,HIST,2665,The American Revolutionary Era,HIST 2665, 
HA,HIST,2672,The History and Politics of Modern Egypt,HIST 2672, 
HA,HIST,2674,History of the Modern Middle East,HIST 2674, 
HA,HIST,2680,The United States in the 1960s and 1970s,HIST 2680, 
HA,HIST,2686,The U.S. and the Middle East,HIST 2686, 
HA,HIST,2688,Cleopatra's Egypt: Tradition and Transformation,HIST 2688, 
HA,HIST,2689,Roman History,HIST 2689, 
HA,HIST,2690,History of Terrorism,HIST 2690, 
HA,HIST,2710,Introduction to the History of Medicine,HIST 2710, 
HA,HIST,2712,The Ancient Economy,HIST 2712, 
HA,HIST,2715,"A Global South: Chile, the Pacific and the World",HIST 2715, 
HA,HIST,2721,History of Mental Health and Mental Illness in the United States,HIST 2721, 
HA,HIST,2722,LGBTQ History in the United States,HIST 2722, 
HA,HIST,2726,Culture and Identity in Modern America: The 19th Century,HIST 2726, 
HA,HIST,2749,"Mughal India and the Early Modern World, c. 1500-1800",HIST 2749, 
HA,HIST,2750,History of Modern India,HIST 2750, 
HA,HIST,2755,Race and Slavery in the Early Atlantic World,HIST 2755, 
HA,HIST,2760,The British Empire,HIST 2760, 
HA,HIST,2792,"Monuments, Museums, and Memory: An Introduction to Public History",HIST 2792, 
HA,HIST,2800,Latinos in US History,HIST 2800, 
HA,HIST,2815,Imprisonment in Europe and America from the Middle Ages to the Present,HIST 2815, 
HA,HIST,2820,Introduction to the History of Modern Science,HIST 2820, 
HA,HIST,2852,Judaism and the Origins of Christianity,HIST 2852, 
HA,HIST,2853,The Law in Jewish History,HIST 2853, 
HA,HIST,2860,The French Revolution,HIST 2860, 
HA,HIST,2881,Ten Technologies That Shook the World?,HIST 2881, 
HA,HIST,2910,Jewish Modernity,HIST 2910, 
HA,HIST,2920,Inventing an Information Society,HIST 2920, 
HA,HIST,2931,Making of an Empire in China,HIST 2931, 
HA,HIST,2932,Engendering China,HIST 2932, 
HA,HIST,2955,Socialism in America,HIST 2955, 
HA,HIST,2958,Empires and Vampires: History of Eastern Europe,HIST 2958, 
HA,HIST,2960,East Asian Martial Arts,HIST 2960, 
HA,HIST,2969,The Rise and Fall of the Soviet Empire,HIST 2969, 
HA,HIST,2970,Imperial Russia,HIST 2970, 
HA,HIST,2985,Transformations in Twentieth Century China,HIST 2985, 
HA,HIST,3050,Eighteenth-Century Britain,HIST 3050, 
HA,HIST,3060,Modern Mexico: A Global History,HIST 3060, 
HA,HIST,3081,"Stability and Crisis: Capitalism and Democracy, 1870 to the present",HIST 3081, 
HA,HIST,3101,"British History, from 1870 to the Present",HIST 3101, 
HA,HIST,3181,"Living in an Uncertain World: Science, Technology, and Risk",HIST 3181, 
HA,HIST,3200,The Viking Age,HIST 3200, 
HA,HIST,3312,What was the Vietnam War?,HIST 3312, 
HA,HIST,3363,Sino-Vietnamese Studies,HIST 3363, 
HA,HIST,3391,Seminar on American Relations with China,HIST 3391, 
HA,HIST,3405,"A Maritime History of Early America, ca. 1450-1850",HIST 3405, 
HA,HIST,3430,History of the U.S. Civil War and Reconstruction,HIST 3430, 
HA,HIST,3451,Culture and Identity in Modern America: The 20th Century,HIST 3451, 
HA,HIST,3452,The Myth of America,HIST 3452, 
HA,HIST,3490,"Renaissance England, 1485 - 1660",HIST 3490, 
HA,HIST,3525,Life and Death in China Under Mao,HIST 3525, 
HA,HIST,3541,Empire to Nation-states in the Eastern Mediterranean,HIST 3541, 
HA,HIST,3542,The Ottoman Empire 1800-1922,HIST 3542, 
HA,HIST,3590,The Black Radical Tradition in the U.S.,HIST 3590, 
HA,HIST,3626,Revolution,HIST 3626, 
HA,HIST,3650,"West Africa and the West, 1450 - 1850",HIST 3650, 
HA,HIST,3652,African Economic Development Histories,HIST 3652, 
HA,HIST,3662,"Women, War, and Peace in Europe, 1900-1950",HIST 3662, 
HA,HIST,3677,The Search for the Historical Muhammad,HIST 3677, 
HA,HIST,3740,America Becomes Modern: The Gilded Age and Progressive Era,HIST 3740, 
HA,HIST,3837,WIM: The Cold War,HIST 3837, 
HA,HIST,3870,The History of Consumption: From Wedgwood to Wal-Mart,HIST 3870, 
HA,HIST,3950,Monsoon Kingdoms: Pre-Modern Southeast Asian History,HIST 3950, 
HA,HIST,3960,Transnational Local: Southeast Asian History from the Eighteenth Century,HIST 3960, 
HA,HIST,4030,History of the United States Senate,HIST 4030, 
HA,HIST,4041,Atlantic Commodities,HIST 4041, 
HA,HIST,4075,Fashion and Politics in Twentieth-Century China,HIST 4075, 
HA,HIST,4085,"Economic Globalization and Democratic Crisis, 1870-present",HIST 4085, 
HA,HIST,4091,Contesting Identities in Modern Egypt,HIST 4091, 
HA,HIST,4127,The Body Politic in Asia,HIST 4127, 
HA,HIST,4155,Slavery and Gender in the Atlantic World,HIST 4155, 
HA,HIST,4156,African American Women's Intellectual History,HIST 4156, 
HA,HIST,4168,Race and Asia in World History,HIST 4168, 
HA,HIST,4195,Identity Politics in the Ibero-Atlantic,HIST 4195, 
HA,HIST,4202,The Politics of Inequality: The History of the U.S. Welfare State,HIST 4202, 
HA,HIST,4203,Contesting Votes: Democracy and Citizenship Throughout U.S. History,HIST 4203, 
HA,HIST,4231,Gender and Technology in Historical Perspectives,HIST 4231, 
HA,HIST,4252,Migration and the Peopling of America: A Perennial Debate,HIST 4252, 
HA,HIST,4262,"Environmental Justice: Past, Present, Future",HIST 4262, 
HA,HIST,4291,Marriage and Divorce in the African Context,HIST 4291, 
HA,HIST,4318,"American Dream?: Journalism, Politics, and Identity in U.S. Immigration Policy",HIST 4318, 
HA,HIST,4336,"Food, Identity, and Politics in the United States",HIST 4336, 
HA,HIST,4337,"The 1980s: Politics, Culture, and Memory in the United States",HIST 4337, 
HA,HIST,4361,Unconventional and Hybrid Warfare in Ancient Greece and Rome,HIST 4361, 
HA,HIST,4485,"Annamese and Merovingians: Two Imperial Frontiers - Rome and Han-Tang China, 5th-8th Centuries",HIST 4485, 
HA,HIST,4520,Jewish Cities,HIST 4520, 
HA,HIST,4525,Historicizing Communism,HIST 4525, 
HA,HIST,4542,The Modern Middle East During the Long Nineteenth Century,HIST 4542, 
HA,HIST,4543,State and Society in the Late Ottoman Empire,HIST 4543, 
HA,HIST,4614,Seminar in Islamic History: The Beginnings of Islam: 600-750,HIST 4614, 
HA,HIST,4653,"Biography and the Black Atlantic, 1400-1800",HIST 4653, 
HA,HIST,4655,Revolution: An Intellectual History,HIST 4655, 
HA,HIST,4661,"Contested Continents: The Great War for Empire in North America and Beyond, 1754-1763",HIST 4661, 
HA,HIST,4667,Nationalism(s) in the Arab World,HIST 4667, 
HA,HIST,4669,From Slavery to Mass Incarceration: A History of Policing in Black Communities,HIST 4669, 
HA,HIST,4672,Europe in Flames: World War II and its Aftermath,HIST 4672, 
HA,HIST,4716,Law and Empire in Early America,HIST 4716, 
HA,HIST,4723,"Scandal, Corruption, and the Making of the British Empire in India",HIST 4723, 
HA,HIST,4742,"Dying for God: Judaism, Christianity and the Meaning of Martyrdom",HIST 4742, 
HA,HIST,4751,"Science, Race, and Colonialism",HIST 4751, 
HA,HIST,4761,Anglo-Saxon England,HIST 4761, 
HA,HIST,4772,China Imagined: The Historical and Global Origins of the Chinese Nation,HIST 4772, 
HA,HIST,4773,Twice A Stranger: Transnational Figures and Their Stories,HIST 4773, 
HA,HIST,4851,Refugees,HIST 4851, 
HA,HIST,4900,"New World Encounters, 1500 - 1800",HIST 4900, 
HA,HIST,4922,Ocean: The Sea in Human History,HIST 4922, 
HA,HIST,4931,Vitality and Power in China,HIST 4931, 
HA,HIST,4945,The Birth of the Prison in Eighteenth Century Europe and America,HIST 4945, 
HA,HIST,4963,China's Early Modern,HIST 4963, 
HA,INFO,2921,Inventing an Information Society,INFO 2921, 
HA,ITAL,2350,The Medieval Book: Objects and Texts,ITAL 2350, 
HA,ITAL,4520,Historicizing Communism,ITAL 4520, 
HA,JAPAN,4410,History of the Japanese Language,JAPAN 4410, 
HA,JWST,2155,The Invention of Religion,JWST 2155, 
HA,JWST,2159,The First Historians,JWST 2159, 
HA,JWST,2599,"Medicine, Magic and Science in the Ancient Near East",JWST 2599, 
HA,JWST,2629,New Testament and Other Early Christian Literatures,JWST 2629, 
HA,JWST,2644,Introduction to Judaism,JWST 2644, 
HA,JWST,2676,"Holy War, Crusade, and Jihad from Antiquity to Present",JWST 2676, 
HA,JWST,2686,The U.S. and the Middle East,JWST 2686, 
HA,JWST,2852,Judaism and the Origins of Christianity,JWST 2852, 
HA,JWST,2853,The Law in Jewish History,JWST 2853, 
HA,JWST,2920,Jewish Modernity,JWST 2920, 
HA,JWST,3530,A Mediterranean Society and Its Culture,JWST 3530, 
HA,JWST,3697,History of the Israeli-Palestinian Conflict,JWST 3697, 
HA,JWST,4195,Identity Politics in the Ibero-Atlantic,JWST 4195, 
HA,JWST,4520,Jewish Cities,JWST 4520, 
HA,JWST,4628,Gnosticism and Early Christianity,JWST 4628, 
HA,JWST,4644,Globalism and Collapse in the Late Bronze Age World,JWST 4644, 
HA,JWST,4742,"Dying for God: Judaism, Christianity and the Meaning of Martyrdom",JWST 4742, 
HA,LA,2610,Fieldwork in Urban Archaeology,LA 2610, 
HA,LA,2620,Laboratory in Landscape Archaeology,LA 2620, 
HA,LA,3600,Pre-Industrial Cities and Towns in North America,LA 3600, 
HA,LA,4050,Designing Archaeological Exhibits,LA 4050, 
HA,LA,6050,Designing Archaeological Exhibits,LA 6050, 
HA,LA,6660,Pre-Industrial Cities and Towns in North America,LA 6660, 
HA,LATA,1802,Introduction to Latinos in U.S. History,LATA 1802, 
HA,LATA,1950,The Invention of the Americas,LATA 1950, 
HA,LATA,1951,Foreign Policy as Subversion,LATA 1951, 
HA,LATA,1960,Modern Latin America,LATA 1960, 
HA,LATA,1970,"Pirates, Slaves, and Revolutionaries: A History of the Caribbean from Columbus to Louverture",LATA 1970, 
HA,LATA,2091,"A History of Human Trafficking in the Atlantic World, ca. 1400-1800",LATA 2091, 
HA,LATA,2307,Histories of the African Diaspora,LATA 2307, 
HA,LATA,2308,Modern Caribbean History,LATA 2308, 
HA,LATA,2381,"Corruption, Collusion, and Commerce in Early America and the Caribbean",LATA 2381, 
HA,LATA,2715,"A Global South: Chile, the Pacific and the World",LATA 2715, 
HA,LATA,2755,Race and Slavery in the Early Atlantic World,LATA 2755, 
HA,LATA,3015,Sweetness: How Sugar Built the Modern World,LATA 3015, 
HA,LATA,3060,Modern Mexico: A Global History,LATA 3060, 
HA,LATA,3405,"A Maritime History of Early America, ca. 1450-1850",LATA 3405, 
HA,LATA,3550,Ancient Mexico and Central America,LATA 3550, 
HA,LATA,4215,Maya History,LATA 4215, 
HA,LGBT,1940,A Global History of Love,LGBT 1940, 
HA,LGBT,2335,Making Public Queer History,LGBT 2335, 
HA,LGBT,2722,LGBTQ History in the United States,LGBT 2722, 
HA,LING,1109,English Words: Histories and Mysteries,LING 1109, 
HA,LING,2261,Introduction to Indo-European Linguistics,LING 2261, 
HA,LING,3314,Introduction to Historical Linguistics,LING 3314, 
HA,LING,3321,History of Romance Languages I,LING 3321, 
HA,LING,3322,History of Romance Languages II,LING 3322, 
HA,LING,4411,History of the Japanese Language,LING 4411, 
HA,LSP,1800,Immigration in U.S. History,LSP 1800, 
HA,LSP,1802,Introduction to Latinos in U.S. History,LSP 1802, 
HA,LSP,2251,U.S. Immigration Narratives,LSP 2251, 
HA,LSP,2252,Immigrant Ithaca,LSP 2252, 
HA,LSP,2800,Latinos in US History,LSP 2800, 
HA,LSP,3061,Modern Mexico: A Global History,LSP 3061, 
HA,LSP,4851,Refugees,LSP 4851, 
HA,MEDVL,1660,The Vikings and their World,MEDVL 1660, 
HA,MEDVL,1740,Imperial China,MEDVL 1740, 
HA,MEDVL,2082,Of Ice and Men: Masculinities in the Medieval North,MEDVL 2082, 
HA,MEDVL,2350,The Medieval Book: Objects and Texts,MEDVL 2350, 
HA,MEDVL,2590,The Crusades,MEDVL 2590, 
HA,MEDVL,2655,Introduction to Islamic Civilization,MEDVL 2655, 
HA,MEDVL,2676,"Holy War, Crusade, and Jihad from Antiquity to Present",MEDVL 2676, 
HA,MEDVL,2695,Introduction to Christian History,MEDVL 2695, 
HA,MEDVL,2722,"Of Saints, Poets, and Revolutionaries: Medieval and Modern Iran and Central Asia",MEDVL 2722, 
HA,MEDVL,3200,The Viking Age,MEDVL 3200, 
HA,MEDVL,3255,The Byzantine Empire: Culture and Society,MEDVL 3255, 
HA,MEDVL,3530,A Mediterranean Society and Its Culture,MEDVL 3530, 
HA,MEDVL,3677,The Search for the Historical Muhammad,MEDVL 3677, 
HA,MEDVL,3750,Introduction to Dendrochronology,MEDVL 3750, 
HA,MEDVL,4145,Race and Gender in the Middle Ages,MEDVL 4145, 
HA,MEDVL,4285,Old French,MEDVL 4285, 
HA,MEDVL,4351,Problems in Byzantine Art,MEDVL 4351, 
HA,MEDVL,4618,Seminar in Islamic History: The Beginnings of Islam: 600-750,MEDVL 4618, 
HA,MEDVL,4754,Themes in Mediterranean Archaeology,MEDVL 4754, 
HA,MEDVL,4761,Anglo-Saxon England,MEDVL 4761, 
HA,MUSIC,2207,History of Western Music I,MUSIC 2207, 
HA,MUSIC,2208,History of Western Music II,MUSIC 2208, 
HA,MUSIC,3302,Rhythm and Blues to Funk: Black Popular Music Before Hip Hop,MUSIC 3302, 
HA,NES,1561,Introduction to the Ottoman Empire,NES 1561, 
HA,NES,1602,Great Discoveries in Greek and Roman Archaeology,NES 1602, 
HA,NES,1660,The Vikings and their World,NES 1660, 
HA,NES,2461,History of Minorities in Ottoman West Asia and North Africa,NES 2461, 
HA,NES,2599,"Medicine, Magic and Science in the Ancient Near East",NES 2599, 
HA,NES,2610,Archaeology of the Ancient Near East,NES 2610, 
HA,NES,2619,History and Politics of the Modern and Contemporary Middle East,NES 2619, 
HA,NES,2620,Jewish Modernity,NES 2620, 
HA,NES,2629,New Testament and Other Early Christian Literatures,NES 2629, 
HA,NES,2644,Introduction to Judaism,NES 2644, 
HA,NES,2649,Controversy and Debate in Islam,NES 2649, 
HA,NES,2655,Introduction to Islamic Civilization,NES 2655, 
HA,NES,2661,Ancient Ships and Seafaring: Introduction to Nautical Archaeology,NES 2661, 
HA,NES,2668,Ancient Egyptian Civilization,NES 2668, 
HA,NES,2670,The History and Politics of Modern Egypt,NES 2670, 
HA,NES,2674,History of the Modern Middle East,NES 2674, 
HA,NES,2676,"Holy War, Crusade, and Jihad from Antiquity to Present",NES 2676, 
HA,NES,2686,The U.S. and the Middle East,NES 2686, 
HA,NES,2688,Cleopatra's Egypt: Tradition and Transformation,NES 2688, 
HA,NES,2695,Introduction to Christian History,NES 2695, 
HA,NES,2701,The Aegean and East Mediterranean Bronze Age c. 3000-1000 BCE,NES 2701, 
HA,NES,2722,"Of Saints, Poets, and Revolutionaries: Medieval and Modern Iran and Central Asia",NES 2722, 
HA,NES,3255,The Byzantine Empire: Culture and Society,NES 3255, 
HA,NES,3530,A Mediterranean Society and Its Culture,NES 3530, 
HA,NES,3541,Empire to Nation-states in the Eastern Mediterranean,NES 3541, 
HA,NES,3542,The Ottoman Empire 1800-1922,NES 3542, 
HA,NES,3677,The Search for the Historical Muhammad,NES 3677, 
HA,NES,3697,History of the Israeli-Palestinian Conflict,NES 3697, 
HA,NES,3887,Understanding Uprising: The Iranian Revolution,NES 3887, 
HA,NES,4337,Labor and Employment in the Middle East and North Africa,NES 4337, 
HA,NES,4351,Problems in Byzantine Art,NES 4351, 
HA,NES,4354,Byzantine Archaeology,NES 4354, 
HA,NES,4520,Jewish Cities,NES 4520, 
HA,NES,4542,The Modern Middle East During the Long Nineteenth Century,NES 4542, 
HA,NES,4543,State and Society in the Late Ottoman Empire,NES 4543, 
HA,NES,4605,Contesting Identities in Modern Egypt,NES 4605, 
HA,NES,4618,Seminar in Islamic History: The Beginnings of Islam: 600-750,NES 4618, 
HA,NES,4628,Gnosticism and Early Christianity,NES 4628, 
HA,NES,4644,Globalism and Collapse in the Late Bronze Age World,NES 4644, 
HA,NES,4654,Themes in Mediterranean Archaeology,NES 4654, 
HA,NES,4670,Wealth and Power: Political Economy in Ancient Near Eastern States,NES 4670, 
HA,NES,4672,Nationalism(s) in the Arab World,NES 4672, 
HA,NTRES,2010,Environmental Conservation,NTRES 2010, 
HA,NTRES,2320,Nature and Culture,NTRES 2320, 
HA,PADM,1449,Systems Thinking and Mapping for Public Policy,PADM 1449, 
HA,PADM,1472,Information Technology for Public Service,PADM 1472, 
HA,PADM,5011,Perspectives on Public Affairs,PADM 5011, 
HA,PADM,5113,Public Administration: A Strategic Planning Perspective,PADM 5113, 
HA,PADM,5118,"Diversity in Leadership: Experience, Perspective and Relatability in Public Affairs",PADM 5118, 
HA,PADM,5133,Law and Public Agency Decisions,PADM 5133, 
HA,PADM,5382,Bridging the Gap: Connecting Research and Policy in the New York State Legislature,PADM 5382, 
HA,PADM,5456,"Comparative Public Administration: The Case of Dubai, United Arab Emirates",PADM 5456, 
HA,PADM,5612,Intergovernmental Relations,PADM 5612, 
HA,PADM,5634,"Corruption, Governance, and Development",PADM 5634, 
HA,PADM,5757,Infrastructure Project Management and Finance Practicum,PADM 5757, 
HA,PADM,5855,International Human Rights,PADM 5855, 
HA,PAM,3370,Race and Public Policy,PAM 3370, 
HA,PAM,3410,Economics of Consumer Protection and the Law,PAM 3410, 
HA,PHIL,1920,Introduction to Political Theory,PHIL 1920, 
HA,PLHRT,2150,"Coffee, Cloves, and Chocolate: Plant Explorers and Thieves",PLHRT 2150, 
HA,PORT,3210,Reading Rio,PORT 3210, 
HA,RELST,2155,The Invention of Religion,RELST 2155, 
HA,RELST,2157,Tolstoy: History and Counter-Culture,RELST 2157, 
HA,RELST,2208,The History of Religious Life in Imperial China,RELST 2208, 
HA,RELST,2209,Daoist Traditions,RELST 2209, 
HA,RELST,2247,Controversy and Debate in Islam,RELST 2247, 
HA,RELST,2248,Buddhists in the Indian Ocean Arena: Past and Present,RELST 2248, 
HA,RELST,2250,Introduction to Asian Religions,RELST 2250, 
HA,RELST,2599,"Medicine, Magic and Science in the Ancient Near East",RELST 2599, 
HA,RELST,2629,New Testament and Other Early Christian Literatures,RELST 2629, 
HA,RELST,2644,Introduction to Judaism,RELST 2644, 
HA,RELST,2655,Introduction to Islamic Civilization,RELST 2655, 
HA,RELST,2676,"Holy War, Crusade, and Jihad from Antiquity to Present",RELST 2676, 
HA,RELST,2695,Introduction to Christian History,RELST 2695, 
HA,RELST,2722,"Of Saints, Poets, and Revolutionaries: Medieval and Modern Iran and Central Asia",RELST 2722, 
HA,RELST,2852,Judaism and the Origins of Christianity,RELST 2852, 
HA,RELST,2853,The Law in Jewish History,RELST 2853, 
HA,RELST,2910,Jewish Modernity,RELST 2910, 
HA,RELST,3530,A Mediterranean Society and Its Culture,RELST 3530, 
HA,RELST,3677,The Search for the Historical Muhammad,RELST 3677, 
HA,RELST,3887,Understanding Uprising: The Iranian Revolution,RELST 3887, 
HA,RELST,4351,Problems in Byzantine Art,RELST 4351, 
HA,RELST,4465,Buddhists and Muslims: Asian Interactions,RELST 4465, 
HA,RELST,4618,Seminar in Islamic History: The Beginnings of Islam: 600-750,RELST 4618, 
HA,RELST,4628,Gnosticism and Early Christianity,RELST 4628, 
HA,RELST,4742,"Dying for God: Judaism, Christianity and the Meaning of Martyrdom",RELST 4742, 
HA,RELST,4931,Vitality and Power in China,RELST 4931, 
HA,ROMS,2350,The Medieval Book: Objects and Texts,ROMS 2350, 
HA,ROMS,3010,Sweetness: How Sugar Built the Modern World,ROMS 3010, 
HA,ROMS,3210,History of Romance Languages I,ROMS 3210, 
HA,ROMS,3220,History of Romance Languages II,ROMS 3220, 
HA,ROMS,4260,Historicizing Communism,ROMS 4260, 
HA,ROMS,4370,The Holocaust and History Writing,ROMS 4370, 
HA,ROMS,4650,Revolution: An Intellectual History,ROMS 4650, 
HA,ROMS,4948,Pleasure and Neoliberalism,ROMS 4948, 
HA,RUSSL,2157,Tolstoy: History and Counter-Culture,RUSSL 2157, 
HA,RUSSL,2158,St. Petersburg and the Making of Modern Russia,RUSSL 2158, 
HA,SHUM,1802,Introduction to Latinos in U.S. History,SHUM 1802, 
HA,SHUM,1930,A Global History of Love,SHUM 1930, 
HA,SHUM,2025,Apartheid's Afterlife,SHUM 2025, 
HA,SHUM,2158,St. Petersburg and the Making of Modern Russia,SHUM 2158, 
HA,SHUM,2220,From the New Deal to the Age of Reagan,SHUM 2220, 
HA,SHUM,2247,Controversy and Debate in Islam,SHUM 2247, 
HA,SHUM,2315,The Occupation of Japan,SHUM 2315, 
HA,SHUM,2335,Making Public Queer History,SHUM 2335, 
HA,SHUM,2542,The Making of Contemporary Africa,SHUM 2542, 
HA,SHUM,2711,Archaeology of the Roman World: Italy and the West,SHUM 2711, 
HA,SHUM,2792,"Monuments, Museums, and Memory: An Introduction to Public History",SHUM 2792, 
HA,SHUM,3010,Sweetness: How Sugar Built the Modern World,SHUM 3010, 
HA,SHUM,4664,Death in the City: Funerary Architecture in Muslim South Asia,SHUM 4664, 
HA,SHUM,4669,From Slavery to Mass Incarceration: A History of Policing in Black Communities,SHUM 4669, 
HA,SHUM,4916,Modern Chinese Art,SHUM 4916, 
HA,SOC,2206,International Development,SOC 2206, 
HA,SOC,3480,Politics and Culture,SOC 3480, 
HA,SPAN,2715,"A Global South: Chile, the Pacific and the World",SPAN 2715, 
HA,SPAN,3440,Global Latin America,SPAN 3440, 
HA,SPAN,4525,Historicizing Communism,SPAN 4525, 
HA,STS,1942,The History of Science in Europe: Newton to Darwin; Darwin to Einstein,STS 1942, 
HA,STS,2071,Introduction to the History of Medicine,STS 2071, 
HA,STS,2381,Ten Technologies That Shook the World?,STS 2381, 
HA,STS,2561,Medicine and Healing in China,STS 2561, 
HA,STS,2641,The Technology of Ancient Rome,STS 2641, 
HA,STS,2721,History of Mental Health and Mental Illness in the United States,STS 2721, 
HA,STS,2821,Introduction to the History of Modern Science,STS 2821, 
HA,STS,2921,Inventing an Information Society,STS 2921, 
HA,STS,3181,"Living in an Uncertain World: Science, Technology, and Risk",STS 3181, 
HA,STS,4168,Race and Asia in World History,STS 4168, 
HA,STS,4231,Gender and Technology in Historical Perspectives,STS 4231, 
HA,STS,4741,"Science, Medicine, the Body: A Critical Race and Feminist Inquiry",STS 4741, 
HA,STS,4751,"Science, Race, and Colonialism",STS 4751, 
HA,STS,4911,Vitality and Power in China,STS 4911, 
HA,SUMER,3661,Sumerian Language and Culture I,SUMER 3661, 
HA,VISST,4101,Proseminar: Introduction to Methods,VISST 4101, 
HA,VISST,4351,Problems in Byzantine Art,VISST 4351, 
HA,VISST,4664,Death in the City: Funerary Architecture in Muslim South Asia,VISST 4664, 
HA,VISST,4840,Contemporary Taiwanese Art,VISST 4840, 
HA,VISST,4851,"Performing Objects, Collecting Cultures",VISST 4851, 
KCM,AEM,2020,"Better Decisions for Life, Love and Money",AEM 2020, 
KCM,AEM,3205,Ethics in Business and Organizations,AEM 3205, 
KCM,AEM,6455,Toward a Sustainable Global Food System: Food Policy for Developing Countries,AEM 6455, 
KCM,AIIS,2100,Indigenous Ingenuities as Living Networks,AIIS 2100, 
KCM,AIIS,3330,Ways of Knowing: Indigenous and Place-Based Ecological Knowledge,AIIS 3330, 
KCM,AMST,3121,Crime and Punishment,AMST 3121, 
KCM,AMST,3330,Ways of Knowing: Indigenous and Place-Based Ecological Knowledge,AMST 3330, 
KCM,AMST,3735,Political Freedom,AMST 3735, 
KCM,AMST,3785,Civil Disobedience,AMST 3785, 
KCM,AMST,4021,American Conservative Thought,AMST 4021, 
KCM,AMST,4220,Locke and the Philosophies of Dispossession: Indigenous America's Interruptions and Resistances,AMST 4220, 
KCM,AMST,4655,Topics in Social and Political Philosophy,AMST 4655, 
KCM,ANTHR,4101,The Entangled Lives of Humans and Animals,ANTHR 4101, 
KCM,ARAB,4867,In Search of the Original Quran,ARAB 4867, 
KCM,ASIAN,2257,"Vanishing World: Religious Reflections on the Climate Crisis, Mass Extinction and Ecosystem Collapse",ASIAN 2257, 
KCM,ASIAN,2273,Religion and Ecological Sustainability,ASIAN 2273, 
KCM,ASIAN,3316,"Zen Buddhism: Ecology, Sustainability and Daily Life",ASIAN 3316, 
KCM,ASIAN,3344,Introduction to Indian Philosophy,ASIAN 3344, 
KCM,ASIAN,4430,Korean Linguistics,ASIAN 4430, 
KCM,ASIAN,4449,"History, Theory, and Methods in the Academic Study of Religion",ASIAN 4449, 
KCM,ASL,2302,ASL Literature,ASL 2302, 
KCM,ASRC,1650,Philosophy of Race,ASRC 1650, 
KCM,BSOC,2051,Ethical Issues in Health and Medicine,BSOC 2051, 
KCM,BSOC,2061,Ethics and the Environment,BSOC 2061, 
KCM,BSOC,4101,The Entangled Lives of Humans and Animals,BSOC 4101, 
KCM,CLASS,1665,Introduction to Early History of Political Philosophy,CLASS 1665, 
KCM,CLASS,2661,Greek and Roman Philosophy,CLASS 2661, 
KCM,CLASS,3661,Hellenistic Philosophy,CLASS 3661, 
KCM,CLASS,3664,Aristotle,CLASS 3664, 
KCM,CLASS,3669,Plato,CLASS 3669, 
KCM,CLASS,3674,Introduction to Indian Philosophy,CLASS 3674, 
KCM,CLASS,3676,Ancient Political Thought,CLASS 3676, 
KCM,CLASS,4662,Topics in Ancient Philosophy,CLASS 4662, 
KCM,COGST,1101,Introduction to Cognitive Science,COGST 1101, 
KCM,COGST,1105,Introduction to Linguistics,COGST 1105, 
KCM,COGST,2090,Developmental Psychology,COGST 2090, 
KCM,COGST,2150,Psychology of Language,COGST 2150, 
KCM,COGST,2200,The Human Brain and Mind: An Introduction to Cognitive Neuroscience,COGST 2200, 
KCM,COGST,2264,"Language, Mind, and Brain",COGST 2264, 
KCM,COGST,2621,Minds and Machines,COGST 2621, 
KCM,COGST,3140,Computational Psychology,COGST 3140, 
KCM,COGST,3160,Auditory Perception: The Music Lab,COGST 3160, 
